ISEE-3 / ICE Ephemeris
======================

Geocentric Equatorial Coordinate System with respect to J2000 equinox.

For local azimuth and altitude, use Wolfram Alpha.
Example: http://www.wolframalpha.com/input/?i=3.2016887536118475+right+ascension+-12.4972872261582+declination
Be sure to use hours for Right Ascension and degrees for Declination.

Starting Date:	February 19, 2014	00:00
Ending Date:	August 11, 2014		00:00
12 minute increments

Date	Time (UTC)	Right Ascension (Hours)	Right Ascension (°)	Declination (°)		Distance (km)
--------------------------------------------------------------------------------------------------------------
14/06/09	07:48	7.842369299932022	117.63553949898034	35.07337206144448	12064226.849735789
14/06/09	08:00	7.842722510496888	117.64083765745332	35.0720358654762	12061963.366704538
14/06/09	08:12	7.843074420938406	117.6461163140761	35.07069684036553	12059699.667426273
14/06/09	08:24	7.843188182585382	117.64782273878073	35.06829346071517	12057437.085285017
14/06/09	08:36	7.843540798731946	117.6531119809792	35.06695958195042	12055175.966080796
14/06/09	08:48	7.843892254511077	117.65838381766618	35.0656196694844	12052912.140141685
14/06/09	09:00	7.844244518449821	117.6636677767473	35.06428107388607	12050650.452069752
14/06/09	09:12	7.844597147935715	117.66895721903572	35.06294253590414	12048388.74642156
14/06/09	09:24	7.844948462840682	117.67422694261023	35.06160688836746	12046125.75181999
14/06/09	09:36	7.845300803789721	117.67951205684582	35.060267750294635	12043865.227747673
14/06/09	09:48	7.8454142149327355	117.68121322399104	35.057867868435885	12041603.005944893
14/06/09	10:00	7.845766537444316	117.68649806166474	35.05653331082772	12039340.822865391
14/06/09	10:12	7.846117897499665	117.69176846249498	35.05519350353305	12037081.91959494
14/06/09	10:24	7.846469893070703	117.69704839606052	35.05384296762843	12034819.170081865
14/06/09	10:36	7.846821341962958	117.70232012944436	35.05250361226811	12032559.366980001
14/06/09	10:48	7.847174242738999	117.70761364108498	35.05116911986961	12030300.077061584
14/06/09	11:00	7.847524703329299	117.71287054993948	35.04981733645289	12028037.21964862
14/06/09	11:12	7.847877293857539	117.71815940786308	35.04848216485788	12025777.698832456
14/06/09	11:24	7.847990269979105	117.71985404968657	35.04606866166023	12023518.428860197
14/06/09	11:36	7.848342225427185	117.72513338140777	35.04471817968335	12021257.723409116
14/06/09	11:48	7.8486940085937	117.7304101289055	35.04337858689748	12019000.970379869
14/06/09	12:00	7.84904478795158	117.7356718192737	35.042030046736556	12016738.28764711
14/06/09	12:12	7.849397202960191	117.74095804440287	35.040684560703156	12014480.088967396
14/06/09	12:24	7.849748949819739	117.7462342472961	35.03934781247129	12012221.675975775
14/06/09	12:36	7.850099740084904	117.75149610127355	35.03799582350927	12009962.046831142
14/06/09	12:48	7.850212887280053	117.75319330920078	35.03558426406082	12007704.474504162
14/06/09	13:00	7.850564839478192	117.7584725921729	35.034234313734366	12005447.612418842
