    User: glassfish
    Date: Wed 19-Feb-2014 (050) 18:53:41
  Status: request completed successfully


GROUP 1    Satellite   Resolution   Factor
            isee3         720         1

           Start Time           Stop Time 
           2014  50  0.00000    2014 223  0.00000


 Coord/            Min/Max          Range Filter              Filter
Component   Output Markers      Minimum         Maximum      Mins/Maxes
GEO X        YES      -           -               -               -   
GEO Y        YES      -           -               -               -   
GEO Z        YES      -           -               -               -   
GEO Lat      YES      -           -               -               -   
GEO Lon      YES      -           -               -               -   


Addtnl             Min/Max          Range Filter              Filter
Options     Output Markers      Minimum         Maximum      Mins/Maxes
dEarth       YES      -           -               -               -   

Output - File: 
         lines per page: 0
 
Formats and units:
    Day/Time format: YY/MM/DD HH:MM
    Degrees/Hemisphere format: Decimal degrees with 1 place(s).
        Longitude 0 to 360, latitude -90 to 90.
    Distance format: Kilometers with 3 place(s).

isee3
      Time                         GEO (km)                        GEO         Radius    
yy/mm/dd hh:mm        X               Y               Z         Lat   Long      (km)     

14/02/19 12:24    17362032.000    39722608.000    12628977.000  16.2  66.4   45153252.000
14/02/19 12:36    19416876.000    38757512.000    12630117.000  16.2  63.4   45151740.000
14/02/19 12:48    21420844.000    37684772.000    12631256.000  16.2  60.4   45150228.000
14/02/19 13:00    23363266.000    36510096.000    12632396.000  16.2  57.4   45148716.000
14/02/19 13:12    25241468.000    35235380.000    12633535.000  16.3  54.4   45147204.000
14/02/19 13:24    27050262.000    33864168.000    12634672.000  16.3  51.4   45145692.000
14/02/19 13:36    28784714.000    32400202.000    12635811.000  16.3  48.4   45144176.000
14/02/19 13:48    30440096.000    30847504.000    12636950.000  16.3  45.4   45142668.000
14/02/19 14:00    32011832.000    29210356.000    12638086.000  16.3  42.4   45141152.000
14/02/19 14:12    33495654.000    27493236.000    12639223.000  16.3  39.4   45139632.000
14/02/19 14:24    34889216.000    25698520.000    12640360.000  16.3  36.4   45138120.000
14/02/19 14:36    36185120.000    23835748.000    12641497.000  16.3  33.4   45136604.000
14/02/19 14:48    37381680.000    21907772.000    12642632.000  16.3  30.4   45135092.000
14/02/19 15:00    38475616.000    19919888.000    12643767.000  16.3  27.4   45133572.000
14/02/19 15:12    39463936.000    17877552.000    12644902.000  16.3  24.4   45132060.000
14/02/19 15:24    40343948.000    15786373.000    12646037.000  16.3  21.4   45130544.000
14/02/19 15:36    41113244.000    13652081.000    12647170.000  16.3  18.4   45129028.000
14/02/19 15:48    41770504.000    11477718.000    12648305.000  16.3  15.4   45127516.000
14/02/19 16:00    42312220.000     9274846.000    12649438.000  16.3  12.4   45125992.000
14/02/19 16:12    42737864.000     7046734.500    12650573.000  16.3   9.4   45124476.000
14/02/19 16:24    43046260.000     4799494.000    12651706.000  16.3   6.4   45122960.000
14/02/19 16:36    43236580.000     2539291.000    12652837.000  16.3   3.4   45121440.000
14/02/19 16:48    43308324.000      272323.750    12653968.000  16.3   0.4   45119928.000
14/02/19 17:00    43261276.000    -1995191.500    12655101.000  16.3 357.4   45118404.000
14/02/19 17:12    43095600.000    -4257035.500    12656231.000  16.3 354.4   45116888.000
14/02/19 17:24    42811316.000    -6509891.500    12657364.000  16.3 351.4   45115368.000
14/02/19 17:36    42409944.000    -8741793.000    12658492.000  16.3 348.4   45113848.000
14/02/19 17:48    41892296.000   -10949516.000    12659623.000  16.3 345.4   45112332.000
14/02/19 18:00    41259808.000   -13127019.000    12660753.000  16.3 342.4   45110812.000
14/02/19 18:12    40514228.000   -15268329.000    12661882.000  16.3 339.4   45109288.000
14/02/19 18:24    39657612.000   -17367578.000    12663011.000  16.3 336.3   45107764.000
14/02/19 18:36    38692308.000   -19419016.000    12664140.000  16.3 333.3   45106248.000
14/02/19 18:48    37619540.000   -21419558.000    12665268.000  16.3 330.3   45104724.000
14/02/19 19:00    36445008.000   -23358570.000    12666395.000  16.3 327.3   45103204.000
14/02/19 19:12    35170636.000   -25233352.000    12667523.000  16.3 324.3   45101684.000
14/02/19 19:24    33799920.000   -27038768.000    12668650.000  16.3 321.3   45100156.000
14/02/19 19:36    32336646.000   -28769868.000    12669776.000  16.3 318.3   45098636.000
14/02/19 19:48    30784808.000   -30421926.000    12670902.000  16.3 315.3   45097112.000
14/02/19 20:00    29148692.000   -31990400.000    12672027.000  16.3 312.3   45095592.000
14/02/19 20:12    27432786.000   -33471010.000    12673154.000  16.3 309.3   45094068.000
14/02/19 20:24    25639440.000   -34861436.000    12674278.000  16.3 306.3   45092544.000
14/02/19 20:36    23778206.000   -36154276.000    12675403.000  16.3 303.3   45091024.000
14/02/19 20:48    21851918.000   -37347852.000    12676528.000  16.3 300.3   45089496.000
14/02/19 21:00    19865882.000   -38438896.000    12677653.000  16.3 297.3   45087968.000
14/02/19 21:12    17825540.000   -39424436.000    12678775.000  16.3 294.3   45086448.000
14/02/19 21:24    15736497.000   -40301776.000    12679897.000  16.3 291.3   45084924.000
14/02/19 21:36    13604486.000   -41068508.000    12681021.000  16.3 288.3   45083396.000
14/02/19 21:48    11432534.000   -41723320.000    12682144.000  16.3 285.3   45081868.000
14/02/19 22:00     9232197.000   -42262736.000    12683265.000  16.3 282.3   45080344.000
14/02/19 22:12     7006729.500   -42686204.000    12684387.000  16.3 279.3   45078820.000
14/02/19 22:24     4762252.500   -42992568.000    12685508.000  16.3 276.3   45077292.000
14/02/19 22:36     2504921.000   -43181004.000    12686628.000  16.3 273.3   45075760.000
14/02/19 22:48      240909.453   -43251008.000    12687750.000  16.3 270.3   45074236.000
14/02/19 23:00    -2023560.000   -43202396.000    12688870.000  16.4 267.3   45072712.000
14/02/19 23:12    -4282277.500   -43035308.000    12689989.000  16.4 264.3   45071180.000
14/02/19 23:24    -6531938.000   -42749776.000    12691108.000  16.4 261.3   45069656.000
14/02/19 23:36    -8760568.000   -42347324.000    12692226.000  16.4 258.3   45068124.000
14/02/19 23:48   -10964993.000   -41828772.000    12693346.000  16.4 255.3   45066596.000
14/02/20 00:00   -13139144.000   -41195556.000    12694464.000  16.4 252.3   45065068.000
14/02/20 00:12   -15277071.000   -40449424.000    12695583.000  16.4 249.3   45063540.000
14/02/20 00:24   -17372914.000   -39592428.000    12696699.000  16.4 246.3   45062012.000
14/02/20 00:36   -19420926.000   -38626932.000    12697816.000  16.4 243.3   45060484.000
14/02/20 00:48   -21418016.000   -37554148.000    12698933.000  16.4 240.3   45058948.000
14/02/20 01:00   -23353610.000   -36379784.000    12700049.000  16.4 237.3   45057420.000
14/02/20 01:12   -25224968.000   -35105764.000    12701164.000  16.4 234.3   45055888.000
14/02/20 01:24   -27026992.000   -33735572.000    12702280.000  16.4 231.3   45054356.000
14/02/20 01:36   -28754738.000   -32272988.000    12703395.000  16.4 228.3   45052824.000
14/02/20 01:48   -30403474.000   -30722028.000    12704511.000  16.4 225.3   45051296.000
14/02/20 02:00   -31968686.000   -29086960.000    12705624.000  16.4 222.3   45049756.000
14/02/20 02:12   -33446086.000   -27372266.000    12706738.000  16.4 219.3   45048228.000
14/02/20 02:24   -34833352.000   -25580322.000    12707852.000  16.4 216.3   45046696.000
14/02/20 02:36   -36123128.000   -23720630.000    12708965.000  16.4 213.3   45045164.000
14/02/20 02:48   -37313732.000   -21796054.000    12710078.000  16.4 210.3   45043632.000
14/02/20 03:00   -38401896.000   -19811882.000    12711190.000  16.4 207.3   45042100.000
14/02/20 03:12   -39384644.000   -17773546.000    12712302.000  16.4 204.3   45040560.000
14/02/20 03:24   -40259312.000   -15686658.000    12713415.000  16.4 201.3   45039028.000
14/02/20 03:36   -41023484.000   -13556932.000    12714525.000  16.4 198.3   45037496.000
14/02/20 03:48   -41675856.000   -11387428.000    12715636.000  16.4 195.3   45035960.000
14/02/20 04:00   -42212960.000    -9189636.000    12716745.000  16.4 192.3   45034420.000
14/02/20 04:12   -42634264.000    -6966835.000    12717856.000  16.4 189.3   45032888.000
14/02/20 04:24   -42938608.000    -4725128.000    12718966.000  16.4 186.3   45031356.000
14/02/20 04:36   -43125168.000    -2470672.750    12720075.000  16.4 183.3   45029820.000
14/02/20 04:48   -43193440.000     -209633.734    12721184.000  16.4 180.3   45028280.000
14/02/20 05:00   -43143264.000     2051775.875    12722293.000  16.4 177.3   45026744.000
14/02/20 05:12   -42974776.000     4307355.500    12723401.000  16.4 174.3   45025208.000
14/02/20 05:24   -42688004.000     6553782.000    12724508.000  16.4 171.3   45023672.000
14/02/20 05:36   -42284480.000     8779168.000    12725617.000  16.4 168.3   45022132.000
14/02/20 05:48   -41765040.000    10980255.000    12726722.000  16.4 165.3   45020600.000
14/02/20 06:00   -41131104.000    13151057.000    12727829.000  16.4 162.3   45019060.000
14/02/20 06:12   -40384428.000    15285580.000    12728936.000  16.4 159.3   45017520.000
14/02/20 06:24   -39527072.000    17378010.000    12730041.000  16.4 156.3   45015980.000
14/02/20 06:36   -38561400.000    19422580.000    12731148.000  16.4 153.3   45014444.000
14/02/20 06:48   -37488612.000    21416238.000    12732252.000  16.4 150.3   45012900.000
14/02/20 07:00   -36314428.000    23348378.000    12733356.000  16.4 147.3   45011364.000
14/02/20 07:12   -35040752.000    25216332.000    12734460.000  16.4 144.3   45009824.000
14/02/20 07:24   -33671108.000    27014952.000    12735564.000  16.4 141.3   45008284.000
14/02/20 07:36   -32209244.000    28739326.000    12736668.000  16.4 138.3   45006740.000
14/02/20 07:48   -30659168.000    30384742.000    12737771.000  16.4 135.3   45005200.000
14/02/20 08:00   -29025156.000    31946686.000    12738874.000  16.4 132.3   45003660.000
14/02/20 08:12   -27311704.000    33420870.000    12739976.000  16.4 129.3   45002116.000
14/02/20 08:24   -25521168.000    34804984.000    12741078.000  16.4 126.3   45000580.000
14/02/20 08:36   -23663034.000    36091700.000    12742180.000  16.4 123.3   44999036.000
14/02/20 08:48   -21740192.000    37279316.000    12743281.000  16.5 120.2   44997500.000
14/02/20 09:00   -19757882.000    38364600.000    12744382.000  16.5 117.2   44995952.000
14/02/20 09:12   -17721588.000    39344564.000    12745482.000  16.5 114.2   44994408.000
14/02/20 09:24   -15636857.000    40216556.000    12746582.000  16.5 111.2   44992868.000
14/02/20 09:36   -13509451.000    40978172.000    12747682.000  16.5 108.2   44991324.000
14/02/20 09:48   -11342365.000    41628108.000    12748780.000  16.5 105.2   44989776.000
14/02/20 10:00    -9147144.000    42162912.000    12749880.000  16.5 102.2   44988236.000
14/02/20 10:12    -6927018.000    42582052.000    12750978.000  16.5  99.2   44986692.000
14/02/20 10:24    -4688116.000    42884376.000    12752077.000  16.5  96.2   44985148.000
14/02/20 10:36    -2436552.000    43069060.000    12753174.000  16.5  93.2   44983604.000
14/02/20 10:48     -178496.609    43135624.000    12754272.000  16.5  90.2   44982056.000
14/02/20 11:00     2079847.000    43083884.000    12755368.000  16.5  87.2   44980512.000
14/02/20 11:12     4332268.500    42914000.000    12756465.000  16.5  84.2   44978964.000
14/02/20 11:24     6575473.500    42626004.000    12757561.000  16.5  81.2   44977420.000
14/02/20 11:36     8797575.000    42221424.000    12758657.000  16.5  78.2   44975872.000
14/02/20 11:48    10995334.000    41701100.000    12759752.000  16.5  75.2   44974328.000
14/02/20 12:00    13162761.000    41066452.000    12760847.000  16.5  72.2   44972780.000
14/02/20 12:12    15293876.000    40319252.000    12761942.000  16.5  69.2   44971232.000
14/02/20 12:24    17382860.000    39461544.000    12763036.000  16.5  66.2   44969684.000
14/02/20 12:36    19424002.000    38495692.000    12764130.000  16.5  63.2   44968132.000
14/02/20 12:48    21414210.000    37422916.000    12765225.000  16.5  60.2   44966588.000
14/02/20 13:00    23342902.000    36248924.000    12766317.000  16.5  57.2   44965036.000
14/02/20 13:12    25207432.000    34975620.000    12767409.000  16.5  54.2   44963488.000
