Date, Time (UTC), Azimuth (°), Elevation (°), Distance (km)
14/02/20,10:00,354.727343088,-39.9108672013,44992317.2877
14/02/20,10:12,358.478233178,-40.0571977598,44990788.6509
14/02/20,10:24,2.23737602292,-40.0395226278,44989247.0365
14/02/20,10:36,5.98360806328,-39.8580182333,44987681.6652
14/02/20,10:48,9.69624283123,-39.5144702845,44986109.5778
14/02/20,11:00,13.3558704237,-39.0121899828,44984519.7295
14/02/20,11:12,16.9450504343,-38.3558649612,44982918.8247
14/02/20,11:24,20.4533153977,-37.5502228178,44981303.9412
14/02/20,11:36,23.8595296072,-36.6041065434,44979673.2812
14/02/20,11:48,27.1589454209,-35.5240647762,44978031.819
14/02/20,12:00,30.345189269,-34.3179846826,44976371.9503
14/02/20,12:12,33.4144028224,-32.9940228847,44974703.0549
14/02/20,12:24,36.3651619137,-31.5603234335,44973016.9769
14/02/20,12:36,39.198022561,-30.0249102863,44971322.6424
14/02/20,12:48,41.9185672133,-28.3934248104,44969616.8378
14/02/20,13:00,44.5232836865,-26.6775198487,44967895.5047
14/02/20,13:12,47.0202775416,-24.8821686037,44966169.3993
14/02/20,13:24,49.4146843183,-23.0140198645,44964431.8347
14/02/20,13:36,51.7122285692,-21.0792174459,44962684.0621
14/02/20,13:48,53.9188980069,-19.0834587013,44960927.4233
14/02/20,14:00,56.040799069,-17.0320470211,44959155.7667
14/02/20,14:12,58.0841230503,-14.9298299194,44957382.5706
14/02/20,14:24,60.0574992434,-12.778473129,44955597.7063
14/02/20,14:36,61.9618743343,-10.5876272414,44953808.0043
14/02/20,14:48,63.8057450375,-8.35830807847,44952012.6932
14/02/20,15:00,65.5948673595,-6.09396943922,44950215.7491
14/02/20,15:12,67.3348350391,-3.79779372972,44948407.3832
14/02/20,15:24,69.0311140234,-1.4727034699,44946596.0936
14/02/20,15:36,70.689031257,0.878603231937,44944781.6563
14/02/20,15:48,72.3158901022,3.25668279928,44942967.3046
14/02/20,16:00,73.9126677873,5.65309497385,44941148.0239
14/02/20,16:12,75.4865976933,8.06868971238,44939324.5421
